,comment
0,"今日から「ポッピンラブ！」先行配信スタートしました！
ぜひ聴いてね♪
https://jvcmusic.lnk.to/poppinglove"
1,イントロからもう好き過ぎる、こんなん絶対ライブで盛り上がるやつやん
2,Absolute banger song and MV... Wish we got to see more of the dance she does at the end of the Tsumari episodes tho
3,"雰囲気めちゃくちゃかわいい！
早くフルでみたい🥺"
4,"OPから可愛いが溢れてる💕\(//∇//)
期待しかない✨✨✨
プレミア公開楽しみにしてます🎉
今夜のドラマも楽しみにしてます♪"
5,AHHHH this is perfect. Very popping and colorful MV. Hope there is a behind the scenes later on where she enjoys the ice cream 🍦
6,ドラマの最後に踊ってるのが可愛すぎるやつ！！楽しみ🥰
7,"さくちゃんの良さが引き出され過ぎてて、可愛さがあふれまくっている！
Sayukiさんのカバーも今から楽しみ！！"
8,"初めて、さくちゃんが作詞・作曲・振り付けを担当した曲なのに、素敵な曲で、元気が出ます‼︎
恋ダンスに続いて、この踊り流行って欲しいです‼︎"
9,「努力はいつか報われること私が証明するから」歌詞が心に響く、、
10,"「努力はいつか報われる事、私が証明するから」
の歌詞めっちゃ背中押された感覚しました。
実は私将来の夢がボートレーサーになる事なんです。だから、この「ボートレースになりたい」っていうCMにもこのイメージソングにも感謝しています。ありがとうございます。将来の夢が実現出来るように日々努力し続けていきたいと思いました。"
11,"さくちゃんと応援ソングは相性抜群過ぎる
ほんと頑張ろうと思える曲"
12,"この歌詞、メンタルの強さを感じる。

努力はいつか 報われること
私が証明するから"
13,"この曲ほんとにいい曲だよね〜！
櫻子ちゃんの声とすごくあってて最高！"
14,"The first time I heard her voice in Liar and his lover movie (I literally just watched), I got goosebumps! She has a powerful voice. Just too great!! I love her voice!"
15,"ALIVEといいSTARTLINEも勇気付けられる曲だー！
さくちゃんが歌ってくれるからこそ歌詞と曲にさくちゃんの想いが入ってる
てか、すごい綺麗になったさくちゃん！"
16,たまたま、車の運転中にラジオで流れていたのですが、2番が流れたときに、ちょうど自分の考えている事と同じだと心に刺さりました。正直、大原さんの事は知らなかったので、誰が歌っているのか気になってたまらなくなり、探してしまいました。
17,"Spotifyにニューリリースでオススメされたから、とっっっっても久しぶりに櫻子ちゃんの曲をきいた。
イントロからすごく好みでグっと心をつかまれ、サビのメロディもすごい好き、なんか優しくてあったかい感じ？
これは鬼リピしますわ、、、カノウソ以来あんまりきいてなかったけど、またいろいろ曲漁ってみようかな"
18,"歌詞が心に直接届いて、想いも伝わるし、歌上手すぎるし最近嫌なことばかりだったけど本当に元気出ました。
ありがとう神曲だね大好き😢😢😢"
19,ジャニーズ全く興味ない男だけど、この歌ハマりすぎて何回もリピしてる笑
20,"この曲聴いて衝撃を受けました！みんな楽しそうに歌っている姿めっちゃいいなって思いました！
自分男子なんですけど推してもいいですか？"
21,"他界隈推してるんですけどこのMV最高すぎて見たら止まらなくなってしまいずっと見てます、、
推してもいいでしょうか…"
22,Me acabo se dar cuenta que nosotras somos las que estabamos en el auto!!!la pantalla muesta perspectivas desde el dueño del auto!!!
23,"ずっとK-POPペンだったんですがこういう王道キラキラ可愛いアイドルいないので一目で落ちてしてしまいました…
ピンク似合いすぎでは？？"
24,V6ファンです。岡田くんと西畑くんがCMに一緒に出ててそれからちょっと興味持ちました！半分沼ってます笑
25,"1:28
ここの大橋くんパート好きすぎる😭
歌はめちゃくちゃ上手いのに映像ではわちゃわちゃして可愛いっていうギャップ最高です…"
26,何気なくみたアマプラのやつからハマってしまいました。アイドルにはまったことなかったけどこれから応援させてください！！！！
27,"福本莉子ちゃんが好きで消えた初恋を見てたらこの曲が頭から離れなくなりました
ずっと乃木坂や日向坂の女性アイドルに夢中だったのにジャニーズに片足突っ込みそうでこわい"
