,comment
0,"「突然 Do love me!」歌唱メンバー16名はこちら！

石橋颯 (IBUKI ISHIBASHI)
http://www.hkt48.jp/profile/78

運上弘菜 (HIRONA UNJO)
http://www.hkt48.jp/profile/60

神志那結衣 (YUI KOJINA)
http://www.hkt48.jp/profile/33

堺萌香 (MOEKA SAKAI)
http://www.hkt48.jp/profile/62

武田智加 (TOMOKA TAKEDA)
http://www.hkt48.jp/profile/64

竹本くるみ (KURUMI TAKEMOTO)
http://www.hkt48.jp/profile/87

田島芽瑠 (MERU TASHIMA)
http://www.hkt48.jp/profile/37

田中美久 (MIKU TANAKA)
http://www.hkt48.jp/profile/48

地頭江音々 (NENE JITOE)
http://www.hkt48.jp/profile/65

豊永阿紀 (AKI TOYONAGA)
http://www.hkt48.jp/profile/67

松岡菜摘 (NATSUMI MATSUOKA)
http://www.hkt48.jp/profile/11

松岡はな (HANA MATSUOKA)
http://www.hkt48.jp/profile/57

水上凜巳花 (RIMIKA MIZUKAMI)
http://www.hkt48.jp/profile/90

本村碧唯 (AOI MOTOMURA)
http://www.hkt48.jp/profile/14

矢吹奈子 (NAKO YABUKI)
http://www.hkt48.jp/profile/51

渡部愛加里 (AKARI WATANABE)
http://www.hkt48.jp/profile/75"
1,"The fact that Nako became the center is so amazing, but all members and the song itself is great too."
2,"奈子ちゃんの「日本のアイドル界全体を
盛り上げたい」という気持ちが伝わってくる"
3,"奈子の踊り方綺麗だよね
品がある"
4,奈子ちゃん、好きと言わせたいからの好きと言っちゃうに変わったんだね(笑)　ダンスも曲も楽しくて何度も聞いてます。MVもHKTのメンバーの可愛いところが見れて最高です。奈子ちゃんセンターおめでとう(#^^#)ｖ
5,ずっと奈子ちゃんのセンター曲が見たくて今回見れてよかったなって思ったし、数字が全てでは無いけれど2日でミリオン達成するぐらい沢山の人に見られてるのは凄い嬉しいことだなぁと思う
6,奈子可愛いし衣装がめっちゃ似合ってる
7,"なこちゃん目当てに来た方へ
なこちゃんはHKTでもほんっっとに魅力的なメンバーなんです！
過去のMVや周りのメンバーを覚えることでなこちゃんのことをもっと深く知れるので是非知ってほしいです！もっともっとなこちゃんの魅力を知ってほしい！"
8,"歌って踊ってる時の奈子ちゃん最高‼️
表情もこの時は最高‼️
なんてかわいいんだろう。奈子ちゃん見てると元気が出てくる。"
9,いや、奈子ちゃんの影響力はもちろんですが、これなかなかにいい曲やと思いますよ👍
10,"「突然 Do love me!」歌唱メンバー16名はこちら！

石橋颯 (IBUKI ISHIBASHI)
http://www.hkt48.jp/profile/78

運上弘菜 (HIRONA UNJO)
http://www.hkt48.jp/profile/60

神志那結衣 (YUI KOJINA)
http://www.hkt48.jp/profile/33

堺萌香 (MOEKA SAKAI)
http://www.hkt48.jp/profile/62

武田智加 (TOMOKA TAKEDA)
http://www.hkt48.jp/profile/64

竹本くるみ (KURUMI TAKEMOTO)
http://www.hkt48.jp/profile/87

田島芽瑠 (MERU TASHIMA)
http://www.hkt48.jp/profile/37

田中美久 (MIKU TANAKA)
http://www.hkt48.jp/profile/48

地頭江音々 (NENE JITOE)
http://www.hkt48.jp/profile/65

豊永阿紀 (AKI TOYONAGA)
http://www.hkt48.jp/profile/67

松岡菜摘 (NATSUMI MATSUOKA)
http://www.hkt48.jp/profile/11

松岡はな (HANA MATSUOKA)
http://www.hkt48.jp/profile/57

水上凜巳花 (RIMIKA MIZUKAMI)
http://www.hkt48.jp/profile/90

本村碧唯 (AOI MOTOMURA)
http://www.hkt48.jp/profile/14

矢吹奈子 (NAKO YABUKI)
http://www.hkt48.jp/profile/51

渡部愛加里 (AKARI WATANABE)
http://www.hkt48.jp/profile/75"
11,なこみくがたくさん映ってて、二人でいるシーンが多くて嬉しい😢💓
12,なこのセンターパート前髪好きです〜〜あの巻き方も良き。可愛い奈子たくさん見れて幸せになりました〜🥰
13,hktはみんながビジュ良いしこれから世界にどんどん見つかっていって欲しい
14,HKTは大きな問題もなくここまでやってきてるのはすごい。
15,So happy seeing Nako having fun with everyone ✨ cuteness overload
16,オリコン1位おめでとうございます🎊みんな可愛くて大好きです🐰ずっと応援してます🎌
17,奈子ちゃんかわいすぎて、日本にはこんなかわいい子がいるんだよって世界中に言いたい。
18,HKTってじっくり見た事なかったんだけど、可愛い子が多いよね。IZONEで奈子ちゃん推しになったんだけど、HKTの活動も頑張ってね！応援してるよー🤗
19,No sere el primero en español pero siii HKT48 sus escenas son maravillosas🌷 bien hecho🌷 bien jugado🏯
20,"この曲聴いたらなぜか胸がキュッとなる他担です😿
セクゾさんの曲は一度聴いたら印象に残る曲が多くて毎シングルごとに聴きに来ています（ ;  ; ）！"
21,"ほんとに良い曲ですね
切ないメロディーなのにとても気持ちが優しい気持ちになります"
22,セクゾの歌っていい曲多いよな〜とファンではないけど度々思う
23,この曲に特に感じるけど、MVの短い時間でも、曲のストーリーを感じ取って豊かに聴かせるSZの歌唱素晴らしい
24,"FNS歌謡祭で秦さんと、夏のハイドレンジアのコラボ見たけど、感動した～！
なにわ男子とかもデビュー曲で出てたけど、圧倒的に勝利くんの可愛さが際立ってたと思う。セクゾは4人とも最高！"
25,"いよいよsexy時代が近づいてきてしまってるんじゃないかと思うのは自分だけか…？？

いいぞ、もっとやれ！！！SexyZone！！！！！"
26,超级喜欢💕
27,冬でも聞きたくなるステキなラブソング
28,このMVの世界観がSexyZoneと合わさってとんでもなく美しい芸術品を眺めてるようで何回も見にきてます🥰
29,"この前のFNS歌謡祭で聴いてファンになってくれた方がいるといいなぁ✨
セクゾは性格的にも素敵だなぁと感じている日々です。まだファン歴は浅いですが、毎日元気をもらっています💕
みんなカッコいい‼️"
30,めちゃくちゃ良い曲だしかっこいい
